Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Hepatitis_B,Polio,Incidents_HIV,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Economy_status_Developed,Economy_status_Developing,,Schooling,Measles,Diphtheria,GDP_per_capita,BMI,Alcohol_consumption,Life_expectancy
Afghanistan,Asia,2015,53.2,70.4,227.735,65,67,0.03,34.41,17.2,17.3,0,1,,3.6,42,65,556,23.3,0,63.4
Albania,Rest of Europe,2015,8.5,9.6,75.205,99,99,0.03,2.88,1.2,1.3,0,1,,9.7,98,99,3953,26.6,4.33,78
Algeria,Africa,2015,21.6,25.2,95.8155,95,95,0.05,39.73,6,5.8,0,1,,7.9,99,95,4178,25.5,0.55,76.1
Angola,Africa,2015,57.7,88.1,242.9655,64,62,0.89,27.88,8.3,8.2,0,1,,5,64,64,3128,23.2,6.53,59.4
Antigua and Barbuda,Central America and Caribbean,2015,6.5,7.8,130.0025,99,86,0.2,0.09,3.3,3.3,0,1,,9.2,84,99,14285,26.6,9.06,76.5
Argentina,South America,2015,10.2,11.5,117.1895,94,93,0.13,43.13,1,0.9,0,1,,9.8,87,94,13789,27.6,8.49,76.1
Armenia,Rest of Europe,2015,12.6,14.1,125.4875,94,96,0.09,2.93,2.1,2.2,0,1,,11.6,97,94,3607,26.3,4.04,74.5
Australia,Oceania,2015,3.3,3.9,61.7325,93,93,0.04,23.82,0.6,0.6,1,0,,12.8,93,93,56707,27.1,9.68,82.4
Austria,European Union,2015,3,3.7,64.6875,93,93,0.08,8.64,1.9,2.1,1,0,,12.1,88,93,44196,25.5,11.6,81.2
Azerbaijan,Asia,2015,23.3,26.3,124.897,96,98,0.05,9.65,2.8,2.9,0,1,,10.7,98,96,5500,26.9,0.51,72.3
"Bahamas, The",Central America and Caribbean,2015,12,14,158.589,95,95,0.34,0.37,2.5,2.5,0,1,,11.1,83,95,31699,27.9,9.27,73.1
Bahrain,Middle East,2015,6.5,7.6,66.684,98,98,0.05,1.37,6.2,6.1,0,1,,9.3,99,98,22634,24.8,1.53,76.8
Bangladesh,Asia,2015,31,38.1,129.753,97,98,0.01,156.26,17.9,18.3,0,1,,5.2,90,97,1248,21.6,0.01,71.5
Barbados,Central America and Caribbean,2015,13,14,99.0935,97,97,0.28,0.29,3.8,3.7,0,1,,10.5,89,97,16559,27.7,9.68,78.8
Belarus,Rest of Europe,2015,3.1,4.1,163.872,99,99,0.22,9.46,1.9,2,0,1,,12.2,99,99,5967,26.6,9.79,73.6
Belgium,European Union,2015,3.3,4.1,71.71,98,99,0.08,11.27,1,1,1,0,,11.7,85,99,41008,26.1,10.36,81
Belize,Central America and Caribbean,2015,13.2,15.3,174.4925,94,94,0.4,0.36,3.5,3.4,0,1,,10.5,95,94,4805,28.9,6.71,74
Benin,Africa,2015,63.2,97.6,242.9535,82,72,0.33,10.58,6.9,6.8,0,1,,3.5,83,82,1077,23.5,1.53,60.6
Bhutan,Asia,2015,27.4,33.1,208.003,99,98,0.13,0.73,15.4,16,0,1,,3.1,94,99,2753,23.8,0.04,70.4
Bolivia,South America,2015,25.4,31.3,184.52,99,99,0.15,10.87,1.2,1.1,0,1,,8.7,83,99,3036,26.4,3.15,70.3
Bosnia and Herzegovina,Rest of Europe,2015,5.4,6.3,96.067,82,74,0.08,3.43,2.3,2.3,0,1,,9,88,82,4730,25.7,4.9,76.9
Botswana,Africa,2015,39.6,49.7,248.595,95,96,5.81,2.12,6.4,6.1,0,1,,9.2,80,95,6403,24.3,6.14,67.3
Brazil,South America,2015,14.2,15.9,144.3625,96,98,0.24,204.47,2.7,2.6,0,1,,7.6,80,96,8814,26.5,6.63,75
Brunei Darussalam,Asia,2015,8.8,10.6,88.093,99,99,0.1,0.41,5.7,5.1,0,1,,9,97,99,31164,27,0.67,75.3
Bulgaria,European Union,2015,6.9,8.2,136.0675,92,91,0.03,7.18,1.9,1.8,1,0,,11.8,87,91,7075,26.4,10.89,74.6
Burkina Faso,Africa,2015,59.6,100.9,257.958,91,91,0.16,18.11,8,7.5,0,1,,1.4,50,91,653,22.1,7.03,59.9
Burundi,Africa,2015,46.2,67.6,294.187,94,94,0.27,10.16,7.3,7.2,0,1,,2.9,65,94,306,21.6,3.99,60.1
Cabo Verde,Africa,2015,16.7,19.5,125.149,96,93,0.26,0.52,6.6,6.6,0,1,,5.9,95,93,3043,24.5,4.54,72.1
