ID,affairs,d_affairs,yearsmarried,rating,religiousness,age,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,10,4,3,37,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,4,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
6,3,1,1.5,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,15,4,1,32,,,,,,,,,,,,,,,,,,,,,,,,
12,3,1,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,15,5,5,57,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0.75,3,2,22,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,1.5,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
43,7,1,15,2,5,37,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0.75,3,2,22,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,15,4,2,57,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,15,2,4,32,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,1.5,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,15,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,
53,12,1,10,2,3,32,,,,,,,,,,,,,,,,,,,,,,,,
55,0,0,4,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
64,0,0,15,4,5,47,,,,,,,,,,,,,,,,,,,,,,,,
67,1,1,0.125,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
79,1,1,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
80,0,0,1.5,4,2,22,,,,,,,,,,,,,,,,,,,,,,,,
86,0,0,4,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
93,0,0,15,5,1,37,,,,,,,,,,,,,,,,,,,,,,,,
108,0,0,15,3,2,37,,,,,,,,,,,,,,,,,,,,,,,,
114,0,0,0.75,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,
115,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
116,0,0,10,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
122,12,1,15,2,4,37,,,,,,,,,,,,,,,,,,,,,,,,
123,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
126,7,1,1.5,4,2,22,,,,,,,,,,,,,,,,,,,,,,,,
127,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
129,0,0,10,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
133,2,1,15,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
134,0,0,10,5,3,32,,,,,,,,,,,,,,,,,,,,,,,,
137,0,0,4,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
138,3,1,15,2,4,32,,,,,,,,,,,,,,,,,,,,,,,,
139,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
147,0,0,7,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
151,0,0,15,4,5,42,,,,,,,,,,,,,,,,,,,,,,,,
153,0,0,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
154,1,1,15,2,4,37,,,,,,,,,,,,,,,,,,,,,,,,
155,0,0,4,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
159,7,1,15,4,3,42,,,,,,,,,,,,,,,,,,,,,,,,
162,0,0,15,3,4,42,,,,,,,,,,,,,,,,,,,,,,,,
163,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
165,0,0,0.417,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
168,0,0,15,4,5,42,,,,,,,,,,,,,,,,,,,,,,,,
170,0,0,4,4,1,32,,,,,,,,,,,,,,,,,,,,,,,,
172,0,0,1.5,3,4,22,,,,,,,,,,,,,,,,,,,,,,,,
174,12,1,15,1,5,42,,,,,,,,,,,,,,,,,,,,,,,,
176,12,1,10,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,
181,12,1,15,2,3,32,,,,,,,,,,,,,,,,,,,,,,,,
182,3,1,4,5,1,27,,,,,,,,,,,,,,,,,,,,,,,,
184,0,0,15,4,3,42,,,,,,,,,,,,,,,,,,,,,,,,
186,7,1,10,3,2,37,,,,,,,,,,,,,,,,,,,,,,,,
187,0,0,4,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
189,7,1,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
192,0,0,1.5,5,1,22,,,,,,,,,,,,,,,,,,,,,,,,
194,0,0,0.75,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
204,1,1,15,5,4,42,,,,,,,,,,,,,,,,,,,,,,,,
210,0,0,10,5,5,32,,,,,,,,,,,,,,,,,,,,,,,,
215,1,1,15,5,5,47,,,,,,,,,,,,,,,,,,,,,,,,
217,0,0,15,3,5,52,,,,,,,,,,,,,,,,,,,,,,,,
220,0,0,0.417,4,5,22,,,,,,,,,,,,,,,,,,,,,,,,
224,0,0,4,1,2,27,,,,,,,,,,,,,,,,,,,,,,,,
227,0,0,7,3,5,32,,,,,,,,,,,,,,,,,,,,,,,,
228,0,0,4,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
232,7,1,4,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
233,1,1,7,4,5,27,,,,,,,,,,,,,,,,,,,,,,,,
239,0,0,7,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
241,0,0,15,4,2,42,,,,,,,,,,,,,,,,,,,,,,,,
245,0,0,1.5,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
249,0,0,15,4,2,42,,,,,,,,,,,,,,,,,,,,,,,,
252,12,1,1.5,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
253,12,1,7,2,4,27,,,,,,,,,,,,,,,,,,,,,,,,
262,0,0,0.75,5,5,22,,,,,,,,,,,,,,,,,,,,,,,,
265,0,0,7,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,
